trip_id,start_time,startLocation_lon,startLocation_lat,endCharging_time,charging_longitude,charging_latitude,startCharging_time,ChargingDuration,waittime
0BA49,2014-06-01 16:35:17+00:00,113.922997,22.5499,2014-06-01 17:54:37+00:00,113.922977,22.546375,2014-06-01 16:42:31+00:00,4326,223
0BA49,2014-06-01 21:16:04+00:00,114.110199,22.5427,2014-06-01 22:42:08+00:00,114.135002,22.544001,2014-06-01 21:38:56+00:00,3792,894
0BB31,2014-06-01 02:49:14+00:00,114.082001,22.558901,2014-06-01 04:47:05+00:00,114.074406,22.559,2014-06-01 03:23:49+00:00,4996,1688
0BB31,2014-06-01 08:49:22+00:00,114.1045,22.5492,2014-06-01 10:35:04+00:00,114.123241,22.562538,2014-06-01 09:23:05+00:00,4319,604
0BB31,2014-06-01 15:59:06+00:00,114.0989,22.5616,2014-06-01 17:38:24+00:00,114.088303,22.562599,2014-06-01 16:13:14+00:00,5110,816
0BB31,2014-06-01 20:27:16+00:00,114.119797,22.591299,2014-06-01 21:25:36+00:00,114.123241,22.562538,2014-06-01 20:42:13+00:00,2603,30
0BB42,2014-06-01 20:27:16+00:00,114.119797,22.591299,2014-06-01 02:48:57+00:00,114.123241,22.562538,2014-06-01 01:50:53+00:00,3484,1459
0BB42,2014-06-01 20:27:16+00:00,114.119797,22.591299,2014-06-01 07:17:07+00:00,114.123241,22.562538,2014-06-01 05:20:27+00:00,7000,0
0BB42,2014-06-01 20:27:16+00:00,114.119797,22.591299,2014-06-01 14:45:25+00:00,114.123241,22.562538,2014-06-01 13:13:22+00:00,5523,0
0BB43,2014-06-01 02:31:47+00:00,114.111801,22.5849,2014-06-01 04:26:11+00:00,114.101748,22.582541,2014-06-01 03:00:17+00:00,5154,0
0BB43,2014-06-01 09:09:08+00:00,114.043297,22.531,2014-06-01 10:22:33+00:00,114.031502,22.5252,2014-06-01 09:21:26+00:00,3667,10
0BB43,2014-06-01 15:43:57+00:00,114.024696,22.542,2014-06-01 16:56:25+00:00,114.023404,22.54265,2014-06-01 16:07:24+00:00,2941,0
